category,datetime,headline,id,image,related,source,summary,url
business,1741870801,Women's sports firm Monarch Collective ups fund size to $250 million,7461595,https://image.cnbcfm.com/api/v1/image/108007502-1721219823732-gettyimages-2158909516-_eh16283_h5ckvmlt.jpeg?v=1741369410&w=1920&h=1080,,CNBC,Monarch investors Melinda French Gates’ Pivotal Ventures and Hello Sunshine CEO Sarah Harden recently upped their funding.,https://www.cnbc.com/2025/03/13/womens-sports-firm-monarch-collective-ups-fund-size.html
top news,1741869780,Wholesale inflation flattens out in February in another sign of easing inflation,7461543,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Wholesale prices were unchanged in February, offering more evidence that inflation pressures eased somewhat early in the new year.",https://www.marketwatch.com/story/wholesale-inflation-flattens-out-in-february-in-another-sign-of-easing-inflation-1599ef59
top news,1741868981,Trump threatens to put 200% tariff on French Champagne and other EU spirits,7461542,https://image.cnbcfm.com/api/v1/image/101044434-1914-Moet-&-Chandon-Grand-Vintage-Collection_r.jpg?v=1379519423&w=1920&h=1080,,CNBC,The U.S. tariff comes after the European Union moved to put an import tax on American whiskey.,https://www.cnbc.com/2025/03/13/trump-threatens-to-put-200percent-tariff-on-french-champagne-and-other-eu-spirits.html
top news,1741868940,Analysts love Intel’s CEO choice — but not enough to recommend buying the stock,7461544,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,Lip-Bu Tan is seen as a “transformative” leader who will move to cut costs. But both halves of Intel’s business both require major fixes.,https://www.marketwatch.com/story/analysts-love-intels-ceo-choice-but-not-enough-to-recommend-buying-the-stock-71639f0a
business,1741867135,Dollar General store review and closures dent fourth-quarter earnings,7461525,https://image.cnbcfm.com/api/v1/image/108026143-1724781789857-gettyimages-1827147996-DOLLAR_GENERAL_EARNS.jpeg?v=1741711547&w=1920&h=1080,,CNBC,"As part of the reevaluation, the dollar-store chain said it will close 96 Dollar General stores and 45 Popshelf stores and will convert six other locations.",https://www.cnbc.com/2025/03/13/dollar-general-dg-q4-2024-earnings.html
top news,1741866960,"Dollar General’s stock jumps as sales beat, with fewer shoppers spending more",7461490,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"The average transaction amount increased amid growth in consumables, which includes food, while traffic declined.",https://www.marketwatch.com/story/dollar-generals-stock-climbs-as-sales-beat-with-fewer-shoppers-spending-more-95f4115a
top news,1741866300,These 20 stocks are likely to be losers no matter what the market does,7461491,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,Difficult-to-short stocks are often greatly overvalued.,https://www.marketwatch.com/story/these-20-stocks-are-likely-to-be-losers-no-matter-what-the-market-does-41ddd24d
top news,1741865760,"National CineMedia reintroduces dividend, plans to accelerate stock buybacks",7461446,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"“The company was always a high-dividend growth story,” National CineMedia’s CEO tells MarketWatch. “We feel like that’s where we’re going back to.”",https://www.marketwatch.com/story/national-cinemedia-reintroduces-dividend-plans-to-accelerate-stock-buybacks-cc1c23e0
top news,1741865460,Mallinckrodt and Endo plan merger as they look to recover from opioid litigation,7461447,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,The new entity will be listed on the New York Stock Exchange and is expected to generate pro forma revenue of $3.6 billion in 2025 and at least $150 million of annual operating synergies by year three.,https://www.marketwatch.com/story/mallinckrodt-and-endo-to-combine-in-6-7-billion-stock-and-cash-deal-0b9084f9
top news,1741865400,There’s always a bull market somewhere: Where to invest as the world turns away from the U.S.,7461448,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,Market strategist Keith McCullough: Stock markets in Europe and Asia will be stronger than the U.S.,https://www.marketwatch.com/story/theres-always-a-bull-market-somewhere-where-to-invest-as-the-world-turns-away-from-the-u-s-5454b6b9
top news,1741863600,The stock market is wobbly. Is now a good time to change how much I invest?,7461414,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"With markets falling in response to economic uncertainty as the Trump administration moves forward with a trade war, some investors are wondering if they should keep investing in the stock market or alter their strategy until things calm down.",https://www.marketwatch.com/story/the-stock-market-is-wobbly-is-now-a-good-time-to-change-how-much-i-invest-0508da3d
top news,1741862280,Oil prices tick lower; IEA warns trade tensions will undercut demand,7461396,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Oil futures edged lower Thursday morning, after the International Energy Agency’s monthly report underscored worries that rising global trade tensions could undercut energy demand.",https://www.marketwatch.com/story/oil-prices-tick-lower-iea-warns-trade-tensions-will-undercut-demand-71c67bb1
top news,1741861860,Another strategist chops his S&P 500 target — but for a different reason than the Goldman Sachs reduction,7461397,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,Ed Yardeni fears a potential stagflationary impact even as keeps his earnings estimates unchanged.,https://www.marketwatch.com/story/another-strategist-chops-his-s-p-500-target-but-for-a-different-reason-than-the-goldman-sachs-reduction-f8625761
top news,1741859250,Counter-counter-tariffs? Trump threatens to hit back against EU's retaliation,7461385,https://image.cnbcfm.com/api/v1/image/108114871-17417947992025-03-12t155137z_170979132_rc2rbda5jo0u_rtrmadp_0_usa-ireland.jpeg?v=1741794846&w=1920&h=1080,,CNBC,U.S. President Donald Trump threatened Wednesday to hit back against Europe's own retaliatory move against the U.S.' 25% tariffs on steel and aluminum imports.,https://www.cnbc.com/2025/03/13/counter-counter-tariffs-trump-threatens-to-hit-back-against-eus-retaliation.html
top news,1741857300,"‘It’s been a scary ride’: My family has $800,000 in stocks. We lost 2 years of market gains in a few weeks. Do we sell – or buy?",7461343,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,“I still believe equities will offer better long-term returns compared to their current real-estate rental income.”,https://www.marketwatch.com/story/its-been-a-scary-ride-my-family-has-800-000-in-stocks-we-lost-2-years-of-market-gains-in-a-few-weeks-do-we-sell-or-buy-0ede181c
top news,1741856460,"After a year of setbacks, Formula 1 star Sergio Perez buys a luxury Miami condo worth millions",7461311,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"After he was dropped by his longtime team, Red Bull Racing, Perez will have plenty of distractions in the waterfront property.",https://www.marketwatch.com/story/after-a-year-of-setbacks-formula-1-star-sergio-perez-buys-a-luxury-miami-condo-worth-millions-83c0bdc7
top news,1741856280,Rapper Bhad Bhabie spent a chunk of her riches on a $5.2 million California mansion,7461306,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"5 months after buying the home, Bhad Bhabie has claimed that she made a staggering $75 million from her OnlyFans account.",https://www.marketwatch.com/story/rapper-bhad-bhabie-spent-a-chunk-of-her-riches-on-a-5-2-millioncaliforniamansion-dfeade92
top news,1741854240,Treasury yields mixed ahead of producer prices report,7461265,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Bond yields were little changed early Thursday, ahead of a report that will indicate the extent of inflationary pressures in the supply chain.",https://www.marketwatch.com/story/treasury-yields-mixed-ahead-of-producer-prices-report-1d1958c1
top news,1741823975,Meta goes to arbitrator to prevent whistleblower from promoting tell-all book,7460996,https://image.cnbcfm.com/api/v1/image/108083075-1736265660300-gettyimages-2192275755-AFP_36T94JJ.jpeg?v=1741817156&w=1920&h=1080,,CNBC,An emergency arbitrator ruled that former Meta staffer Sarah Wynn-Williams is prohibited from promoting memoir of her tenure at the social media company.,https://www.cnbc.com/2025/03/12/arbitrator-prohibits-meta-whistleblower-from-promoting-tell-all-book.html
top news,1741822047,China's DeepSeek moment to risks of groupthink: What tech leaders are saying on AI right now,7460991,https://image.cnbcfm.com/api/v1/image/107417882-1716307100927-gettyimages-1848353314-INTERL_AI.jpeg?v=1741775516&w=1920&h=1080,,CNBC,The future of artificial intelligence is dominating discussions at CNBC's CONVERGE LIVE in Singapore.,https://www.cnbc.com/2025/03/13/joe-tsai-marc-benioff-and-other-tech-leaders-talk-ai-at-converge-live.html
top news,1741821000,Another avocado seller is downplaying tariffs — but is still monitoring this Trump policy,7460987,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Calavo Growers Inc., a company that distributes avocados from Mexico and California, said Wednesday that it didn’t expect any U.S. tariffs on imports from Mexico to have a “meaningful impact,” on business, although it said they could add extra costs.",https://www.marketwatch.com/story/another-avocado-seller-is-downplaying-tariffs-but-is-still-monitoring-this-trump-policy-50f09986
top news,1741819916,"Fed rate cuts could ward off a serious recession, Jim Cramer says",7460990,https://image.cnbcfm.com/api/v1/image/104673557-IMG_5320-jim-cramer.jpg?v=1693522842&w=1920&h=1080,,CNBC,CNBC's Jim Cramer analyzed Wednesday's market action.,https://www.cnbc.com/2025/03/12/fed-rate-cuts-recession-jim-cramer.html
top news,1741814400,This agentic AI play’s stock is falling after it called out ‘increasing global macroeconomic uncertainty’,7460939,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,Shares of UiPath fell sharply after hours on Wednesday after the business-automation software platform forecast sales for the year ahead that came in below Wall Street’s expectations.,https://www.marketwatch.com/story/this-agentic-ai-plays-stock-is-falling-after-it-called-out-increasing-global-macroeconomic-uncertainty-f4b2247e
top news,1741813620,Adobe’s stock has been an AI laggard. A ho-hum earnings forecast is adding to its declines.,7460937,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Adobe Systems Inc. shares fell in after-hours trading Wednesday after  disappointing quarterly earnings guidance, amid criticism on Wall Street that the software company is not yet monetizing artificial intelligence.",https://www.marketwatch.com/story/adobes-stock-has-been-an-ai-laggard-a-ho-hum-earnings-forecast-is-adding-to-its-declines-dac50087
top news,1741813158,Trump tariff threats are pushing Canada's largest oil producer to break its dependence on the U.S.,7460934,https://image.cnbcfm.com/api/v1/image/108110776-1741118139324-gettyimages-2197072161-widak-dailylif250203_npE0R.jpeg?v=1741807016&w=1920&h=1080,,CNBC,Alberta Premier Danielle Smith said the oil-producing region could look beyond the U.S. for customers if Trump's tariff threats create uncertainty.,https://www.cnbc.com/2025/03/12/trump-tariff-threats-are-pushing-canadas-largest-oil-producer-to-break-its-dependence-on-the-us-.html
top news,1741813080,Intel’s stock soars as Lip-Bu Tan is named CEO. But he faces a tough task ahead.,7460927,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"With a permanent CEO, Intel now has some stability.  But turning around the design and manufacturing businesses won’t be easy.",https://www.marketwatch.com/story/intels-stock-soars-as-lip-bu-tan-is-named-ceo-but-he-faces-a-tough-task-ahead-a4e2c96d
top news,1741812660,Here are the states facing big hits from the EU’s retaliatory tariffs on American liquor,7460928,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"The U.S. liquor industry has been hoping to avoid retaliatory tariffs on its products, but instead they look set to hit — and weigh on southern states in particular.",https://www.marketwatch.com/story/here-are-the-states-facing-big-hits-from-the-eus-retaliatory-tariffs-on-american-liquor-d8ee83ef
top news,1741812300,An Elon Musk stablecoin? Democrats warn of a Big Tech crypto takeover.,7460929,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Stablecoin bill could lead to a “privatization of the dollar,” according to crypto skeptic Sen. Elizabeth Warren.",https://www.marketwatch.com/story/an-elon-musk-stablecoin-democrats-warn-of-a-big-tech-crypto-takeover-c2a9d5f7
top news,1741811820,Trump’s tariff fight may be making this early recession signal go haywire,7460917,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Bonds issued by retailers with “junk” credit ratings have been hit by selling as consumer confidence falls, but the selloff isn’t widespread",https://www.marketwatch.com/story/trumps-tariff-fight-may-be-making-this-early-recession-signal-go-haywire-47352bf7
top news,1741811226,BofA says this tech stock can work even in a recession. We just bought more shares,7460919,https://image.cnbcfm.com/api/v1/image/107421562-1717011379520-gettyimages-1934156363-DAVOS_WEF_2024.jpeg?v=1741809877&w=1920&h=1080,,CNBC,Salesforce should be able to continue to grow despite the impact of tariffs and a possible recession.,https://www.cnbc.com/2025/03/12/bofa-says-salesforce-crm-can-work-even-in-a-recession-we-just-bought-more.html
top news,1741810800,"Social Security Administration weighs cutting phone support for claims, deposits: report",7460909,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,Sources said the agency would direct seniors and disabled individuals to online services and in-person field offices.,https://www.marketwatch.com/story/social-security-administration-weighs-cutting-phone-support-for-claims-deposits-report-c3de31c6
top news,1741810446,"While stockholders lose money, volatility traders are making it hand over fist",7460918,https://image.cnbcfm.com/api/v1/image/45466829-new-CME-5-200.jpg?v=1349480180&w=1920&h=1080,,CNBC,"Big drops in the stock market have led to major gains for the Cboe Volatility Index, which is now up 52% over the past month.",https://www.cnbc.com/2025/03/12/while-stockholders-lose-money-volatility-traders-are-making-it-hand-over-fist.html
top news,1741808700,This space stock has quadrupled in a year. Here’s what could spark more gains.,7460871,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Space company Rocket Lab USA Inc. is ramping up its efforts to expand beyond launch capabilities, recently announcing its new “Flatellite” satellites tailored for large orbital constellations.",https://www.marketwatch.com/story/this-space-stock-has-quadrupled-in-a-year-heres-what-could-spark-more-gains-246f4d35
top news,1741808580,Why record-high egg prices won’t go down anytime soon — and it’s not just due to bird flu,7460833,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"A lot goes into the production of eggs — and with the Trump administration’s tariff policies potentially affecting costs for chicken feed and equipment, bird flu isn’t the only reason U.S. consumers may continue to pay high prices for eggs at the grocery store.",https://www.marketwatch.com/story/why-record-high-egg-prices-wont-go-down-anytime-soon-and-its-not-just-due-to-bird-flu-4f99bedc
top news,1741805880,"Tesla’s stock may be bouncing, but this analyst explains why you should keep selling",7460764,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"One reason Tesla investors should sell into the stock’s recent bounce is because of all the “political noise” surrounding Chief Executive Elon Musk, one analyst says.",https://www.marketwatch.com/story/teslas-stock-may-be-bouncing-but-this-analyst-explains-why-you-should-keep-selling-9dcfbb46
top news,1741805045,"Hard-hit stocks catch another bid — plus, how our sell-off strategy has paid off so far",7460797,https://image.cnbcfm.com/api/v1/image/108008942-1721392145483-gettyimages-1205125706-MONTGOMERY_SUMMIT.jpeg?v=1721392264&w=1920&h=1080,,CNBC,"Every weekday, the Investing Club releases the Homestretch; an actionable afternoon update just in time for the last hour of trading.",https://www.cnbc.com/2025/03/12/hard-hit-stocks-catch-another-bid-plus-how-our-sell-off-strategy-has-paid-off-so-far.html
top news,1741804680,Trump set to nominate Michelle Bowman as Fed’s top bank supervisor,7460759,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"President Donald Trump is set to nominate Federal Reserve Governor Michelle Bowman to be the central bank’s top bank supervisor, a White House official confirmed to MarketWatch.",https://www.marketwatch.com/story/trump-said-to-nominate-michelle-bowman-as-feds-top-bank-supervisor-627967e2
top news,1741804260,Why student-loan borrowers ‘are going to feel the brunt’ of the Education Department layoffs,7460760,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,The cuts come during what was already set to be a period of mass upheaval for the student-loan system.,https://www.marketwatch.com/story/student-loan-borrowers-are-going-to-feel-the-brunt-of-education-department-layoffs-a6fa1be9
top news,1741802160,7 ways to safeguard your money as the Trump administration weakens consumer protections,7460711,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"The onus is on Americans to wage their own fights against scams, rip-offs and bad deals.",https://www.marketwatch.com/story/7-ways-to-safeguard-your-money-as-the-trump-administration-weakens-consumer-protections-0ae7b30e
top news,1741802040,"Social Security’s COLA seen falling to 2.2% in 2026, leaving seniors struggling to keep pace",7460712,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Over the last 20 years, the cost-of-living adjustment has averaged 2.6%, according to the Senior Citizens League.",https://www.marketwatch.com/story/social-securitys-cola-seen-falling-to-2-2-in-2026-leaving-seniors-struggling-to-keep-pace-aee548d2
top news,1741801809,Google's DeepMind says it will use AI models to power physical robots,7460715,https://image.cnbcfm.com/api/v1/image/107414834-1715711086438-gettyimages-2152404021-AFP_34RF6FZ.jpeg?v=1741801149&w=1920&h=1080,,CNBC,Google is taking its DeepMind artificial intelligence technology models into the physical world to power robots.,https://www.cnbc.com/2025/03/12/googles-deepmind-says-it-will-use-ai-models-to-power-physical-robots.html
top news,1741800474,An analyst upgraded Eaton to buy. Jim Cramer says the call is exactly right,7460716,https://image.cnbcfm.com/api/v1/image/107408332-1714497108427-gettyimages-1480633240-technologybackground62illustration.jpeg?v=1741789515&w=1920&h=1080,,CNBC,Shares of Eaton rose more than 3% on Wednesday.,https://www.cnbc.com/2025/03/12/an-analyst-upgraded-eaton-to-buy-jim-cramer-says-the-call-is-exactly-right.html
top news,1741799040,Bond rally fizzles despite cool CPI inflation reading. What that says about investors.,7460701,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,A fleeting reaction to a cooler-than-expected February inflation reading on Wednesday is a signal that investors are consumed by recession fears.,https://www.marketwatch.com/story/bond-rally-fizzles-despite-cool-cpi-inflation-reading-what-that-says-about-investors-b895d5f8
top news,1741798560,Spotify says it paid $10 billion in royalties in 2024 — but are artists any better off?,7460695,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"The music-streaming giant has long been the target of criticism from artists about paltry payments, but said it doled out record royalties last year.",https://www.marketwatch.com/story/spotify-says-it-paid-10-billion-in-royalties-in-2024-but-are-artists-any-better-off-82e7839e
top news,1741798215,"How Lead Bank CEO Jackie Reses rose from 'a pretty gritty childhood' to Goldman Sachs, Square and top of U.S. fintech",7460700,https://image.cnbcfm.com/api/v1/image/107377507-1708700153107-Jacqueline_Reses_Thumbnail.png?v=1708703413&w=1920&h=1080,,CNBC,"Lead Bank CEO Jacqueline Reses says her independent life started at age 14, and she's never looked back, from early days at Goldman Sachs to the top of fintech.",https://www.cnbc.com/2025/03/12/how-jackie-reses-rose-from-pretty-gritty-childhood-to-top-of-fintech.html
top news,1741798020,Rocket-Redfin deal could make home buying more convenient — and more expensive,7460696,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"One of the biggest mortgage lenders in the U.S. said it would pay $1.75 billion to buy a well-known real-estate brokerage. The deal, once it goes through, could have major consequences for millions of home buyers.",https://www.marketwatch.com/story/rocket-redfin-deal-could-make-home-buying-more-convenient-and-more-expensive-dab106ff
top news,1741797180,"Motorcycles, whiskey, gum: How the E.U. is targeting U.S. products with retaliatory tariffs",7460660,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,The European Union is planning new tariffs on a wide range of U.S. imports next month in response to President Donald Trump’s new taxes on imported aluminum and steel that went into effect Wednesday.,https://www.marketwatch.com/story/motorcycles-whiskey-gum-how-the-e-u-is-targeting-u-s-products-with-retaliatory-tariffs-b12399d3
top news,1741796508,Back to back upgrades for one portfolio stock — why Jim Cramer insists you buy,7460659,https://image.cnbcfm.com/api/v1/image/107377497-1708699881284-gettyimages-2018756284-RAFAPRESS_19022024-00332.jpeg?v=1708699918&w=1920&h=1080,,CNBC,"The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",https://www.cnbc.com/2025/03/12/back-to-back-upgrades-for-one-portfolio-stock-and-why-jim-cramer-insists-you-buy-.html
top news,1741796340,"Musk and Trump’s claims of government fraud are untrue, new report shows",7460655,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,It’s yet another setback for Elon Musk’s claim of a $1 trillion “DOGE dividend.”,https://www.marketwatch.com/story/musk-and-trumps-claims-of-government-fraud-are-untrue-new-report-shows-d9d26abc
top news,1741796280,March’s dizzying stock-market drop could be a buying opportunity — so long as this doesn’t happen,7460656,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"The speed with which stocks have slumped over the past few weeks has taken many by surprise. Just two-and-a-half months earlier, investors had been celebrating a second straight year of blockbuster returns.",https://www.marketwatch.com/story/marchs-dizzying-stock-market-drop-could-be-a-buying-opportunity-so-long-as-this-doesnt-happen-12688cf7
top news,1741795380,Verizon’s stock is beating the S&P 500 this year. Here’s why that could change.,7460646,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,Verizon’s stock is headed for its worst two-day stretch since 2008 after a downgrade from Wolfe Research.,https://www.marketwatch.com/story/verizons-stock-is-beating-the-s-p-500-this-year-heres-why-that-could-change-2e44ee39
top news,1741794840,Viking Therapeutics’ new contract is a game changer. Here’s how much money it could bring in.,7460643,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Viking has found a manufacturing partner, removing a key overhang on the stock.",https://www.marketwatch.com/story/viking-therapeutics-new-contract-is-a-game-changer-heres-how-much-money-it-could-bring-in-abfe206a
top news,1741794720,Trump says economy is in ‘transition.’ Could this go as badly as ‘transitory’ inflation?,7460644,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"Calling bad news a temporary phenomenon didn’t work out well for Biden and it won’t for Trump, former Treasury Secretary Larry Summers said.",https://www.marketwatch.com/story/trump-says-economy-is-in-transition-could-this-go-as-badly-as-transitory-inflation-dc5f3b9e
top news,1741793602,We're again adding to a restaurant name delivering the value cautious consumers crave,7460635,https://image.cnbcfm.com/api/v1/image/108113936-1741695888117-gettyimages-2203876309-NASDAQ_MARKETSITE.jpeg?v=1741695930&w=1920&h=1080,,CNBC,This chain delivers for its customers by serving quality food at a much more affordable price.,https://www.cnbc.com/2025/03/12/were-again-adding-to-a-restaurant-name-delivering-the-value-that-cautious-consumers-crave.html
top news,1741793460,"Nvidia’s stock is rebounding, but the key to a real recovery may surprise investors",7460634,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"While Wall Street may be worried about the sustainability of AI spending, a BofA analyst thinks gross margins are more crucial to the stock trajectory.",https://www.marketwatch.com/story/nvidias-stock-is-rebounding-but-the-key-to-a-real-recovery-may-surprise-investors-5fec7081
top news,1741793100,Puma’s stock dives to near 9-year low as ‘trade disputes’ hit sales of sports apparel,7460626,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,Shares of Puma tumbled to a near nine-year low on Wednesday after the German sportswear group warned that geopolitical tensions and trade uncertainty would contribute to another year of weak growth.,https://www.marketwatch.com/story/pumas-stock-dives-to-near-9-year-low-as-trade-disputes-hit-sales-of-sports-apparel-6020aae4
top news,1741792860,9 quality bank stocks most likely to rise as much as 45% after recent market declines,7460627,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,Recent action shows investors can never really predict how interest rates will move.,https://www.marketwatch.com/story/9-quality-bank-stocks-most-likely-to-rise-as-much-as-45-after-recent-market-declines-e032ca1f
top news,1741790160,Why Kohl’s worst stock drop on record may have been excessive,7460593,https://static2.finnhub.io/file/publicdatany/finnhubimage/market_watch_logo.png,,MarketWatch,"New Kohl’s CEO Ashley Buchanan has a “meaningful” opportunity to drive improvements at the retailer, says analyst firm Jefferies.",https://www.marketwatch.com/story/why-kohls-worst-stock-drop-on-record-may-have-been-excessive-d48d36e0
